Protein,Protein State,Deut Time,MS File,Start Idx,End Idx,z,maxD,#D left,#D right,Start RT,End RT,Confidence,Theor mono m/z,mono inty,m+1 inty,m+2 inty,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTEIN,apo_PROTEIN,0s,ELN66236_02_10_PROTEIN-ECD_apo_0_20220610_182354,1,13,3,10,0.0621,0,5.21,5.38,Medium,567.9706,573735.0784,594527,351328.6462,118988.9006,30559.7331,4261.3994,1512.7291,20807.8501,2519.6677,1485.5146,6665.3519,1113.5823,1131.7253,6420.4209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,15s,ELN66236_02_11_PROTEIN-ECD_apo_15_20220610_184553,1,13,3,10,2.3402,0,5.21,5.38,Medium,567.9706,19353.4632,88517.4681,188962.8383,210527,203996.3966,110605.2344,53243.2152,32771.2352,5662.6458,2302.5813,7345.8904,1444.8976,1036.9356,2585.2636,673.9458,4114.3178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,150s,ELN66236_02_12_PROTEIN-ECD_apo_150_20220610_191541,1,13,3,10,3.5132,0,5.21,5.38,Medium,567.9706,6077.2222,13718.7602,39430.6075,80191.1382,111311,88338.8283,61796.4159,38788.5757,13905.5948,4183.3981,6099.3027,1119.3095,599.5694,2418.6597,558.8055,1088.7366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,1500s,ELN66236_02_13_PROTEIN-ECD_apo_1500_20220610_195632,1,13,3,10,3.897,0,5.21,5.38,Medium,567.9706,4845.1758,7244.8244,16041.5413,38975.8388,65362,63267.5436,48663.1984,35993.7319,13254.9169,3908.6546,4406.3373,903.6083,909.5925,2517.3371,705.1337,637.3132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,0s,ELN66236_02_63_mAb_1_PROTEIN_ECD_0_20220613_164825,1,13,3,10,0.0063,0,5.27,5.38,Medium,567.9706,107201,104156.8089,55920.8573,17079.2041,8206.7203,1944.9453,775.3609,3745.9417,734.4663,258.4536,3775.3858,2769.3796,1518.0061,2247.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,15s,ELN66236_02_06_mAb_1_PROTEIN_ECD_15_20220610_163142,1,13,3,10,2.2895,0,5.27,5.38,Medium,567.9706,23237.6509,106881.8224,185479.9548,187364,168726.5336,113400.2183,54986.2418,42735.6599,6718.6632,2024.2745,19406.6638,4380.0457,7633.5258,7061.7367,3874.0123,3325.0948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,150s,ELN66236_02_07_mAb_1_PROTEIN_ECD_150_20220610_165350,1,13,3,10,3.3849,0,5.27,5.38,Medium,567.9706,4366.5375,18459.5852,43871.8324,73951.8082,111119,104352.2347,69957.1955,41742.2766,14149.6084,5107.4737,10592.4363,1353.6229,2104.7322,4378.406,3528.9574,2406.5323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,1500s,ELN66236_02_09_mAb_1_PROTEIN_ECD_1500_20220610_175621,1,13,3,10,4.0937,0,5.27,5.38,Medium,567.9706,4171.8212,4676.1453,10254.4012,25734.165,45893.0279,54367,48330.0414,28211.8231,12090.8709,4736.6974,7451.5869,1252.8796,1057.1222,3665.0087,1951.3021,2126.3225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,0s,ELN66236_02_65_mAb_2_PROTEIN_ECD_0_20220613_173205,1,13,3,10,0.0138,0,5.26,5.37,Medium,567.9706,284224.0563,297964,145915.2919,47225.9414,11934.9279,1682.2565,832.035,5128.609,500.1303,536.5034,7947.5253,6756.3059,3259.9403,2314.2394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,15s,ELN66236_02_16_mAb_2_PROTEIN_ECD_15_20220610_210102,1,13,3,10,2.4211,0,5.26,5.37,Medium,567.9706,21654.2073,96540.6409,214617.8485,293778.5092,293931,156895.599,71115.0439,46496.7512,8652.1249,2521.0981,12527.185,4185.0417,5288.3574,9087.1721,4364.4426,4194.0117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,150s,ELN66236_02_18_mAb_2_PROTEIN_ECD_150_20220610_214348,1,13,3,10,3.424,0,5.26,5.37,Medium,567.9706,3845.6964,16734.2061,44860.7823,100873.4455,139473,113006.4367,74647.3713,50187.7209,14084.5703,4328.8027,7282.7742,1853.681,3228.5121,6246.3303,4650.1641,3545.6171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,1500s,ELN66236_02_20_mAb_2_PROTEIN_ECD_1500_20220610_224546,1,13,3,10,4.0972,0,5.26,5.37,Medium,567.9706,2422.8289,6061.9522,12896.1542,36383.3008,83623,73653.6907,62657.2095,44644.0596,17765.3318,5395.8854,8528.4407,785.7338,718.1063,3781.7582,2794.142,3235.6345,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,0s,ELN66236_02_64_mAb_3_PROTEIN_ECD_0_20220613_171016,1,13,3,10,0.0268,0,5.24,5.35,Medium,567.9706,286625.763,319060,164293.8698,54542.2931,17137.2732,2400.192,705.9388,7633.8762,1163.5819,701.0703,10598.8193,10131.4391,3344.6894,2278.4784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,15s,ELN66236_02_28_mAb_3_PROTEIN_ECD_15_20220611_023911,1,13,3,10,2.4316,0,5.24,5.35,Medium,567.9706,23996.164,124107.0054,276677.9742,368147.789,372582,215025.3862,93152.8014,50538.8965,9198.4059,2603.9382,15440.4107,4178.6516,5958.0209,6219.5257,3570.3688,6122.8826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,150s,ELN66236_02_30_mAb_3_PROTEIN_ECD_150_20220611_032243,1,13,3,10,3.3228,0,5.24,5.35,Medium,567.9706,4903.7617,27355.1003,70432.1846,145051.1394,188707,158708.5331,95935.7766,60604.5049,15082.7385,4889.3642,13372.3248,1920.616,3170.3122,6930.9186,4826.0156,4178.1316,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,1500s,ELN66236_02_32_mAb_3_PROTEIN_ECD_1500_20220611_042454,1,13,3,10,4.0804,0,5.24,5.35,Medium,567.9706,1651.3527,7230.5658,17423.4562,50138.7755,110430,108576.4408,86647.1508,63526.5278,19244.9993,7223.8256,12828.3145,952.0554,1019.4575,5990.3662,3688.5827,5112.4532,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,0s,ELN66236_02_68_mAb_4_PROTEIN_ECD_0_20220613_183721,1,13,3,10,0.0108,0,5.26,5.38,Medium,567.9706,347529.2825,362134,177588.5022,48908.9499,9896.7268,1536.1754,602.3134,9117.5875,790.1909,585.7359,6503.8791,4542.2163,1856.6724,2807.1118,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,15s,ELN66236_02_53_mAb_4_PROTEIN_ECD_15_20220611_212338,1,13,3,10,2.4224,0,5.26,5.38,Medium,567.9706,14402.1584,90570.4841,219199.9849,307962,295889.9148,173110.8407,73240.0636,34641.3452,6136.3749,2198.4974,9886.2869,1719.1853,2217.2939,4454.0836,1592.3086,2804.6862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,150s,ELN66236_02_56_mAb_4_PROTEIN_ECD_150_20220611_222847,1,13,3,10,3.2369,0,5.26,5.38,Medium,567.9706,2436.8352,20743.33,64921.8124,134580.6013,172274,137795.5414,76091.2978,47164.7228,11469.1609,3159.7368,8064.952,1006.8046,1543.0661,3254.3711,1771.7659,1989.9507,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
