Protein	Protein State	Deut Time	MS File	Start Idx	End Idx	z	maxD	#D left	#D right	Start RT	End RT	Confidence	Theor mono m/z	mono inty	m+1 inty	m+2 inty	...																													
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	1	26	3	22	12.1218	0	10.14	10.37	Medium	912.1034	2781.868	3534.8573	5298.9848	4575.0455	2835.0163	1230.0036	1293.0553	1425.1008	2495.9895	5138.8797	8445.9585	11460.8867	17442.8767	20783.9573	20575.9857	21634	16345.909	10639.894	7398.8379	4946.0933	1997.848	1223.0712	718.9876	473.0529	657.9166	494.8404	722.949	799.8654	819.012	863.9075	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	5	26	3	18	9.3639	0	9.63	9.94	Medium	772.7193	880.0726	802.089	987.9181	986.967	1214.0703	1949.9684	2823.0034	3862.0863	6596.0744	9823.0705	11621.0661	11838.0886	12465	9031.0623	5890.0382	3612.9194	2504.9828	900.995	555.9654	558.0577	481.9762	236.9938	492.057	415.0245	349.0238	594.0062	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	12	26	2	12	5.6793	0	8.95	9.17	Medium	824.3951	707.0132	763.0954	946.1501	6239.9274	10305.8836	14673.9903	17037.0024	20648	19141.0284	12132.0193	7658.9949	3610.9976	1958.1494	908.972	927.8761	523.9586	535.9312	603.9859	661.0133	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	15	21	1	5	2.7598	0	7.97	8.07	Medium	688.3334	0	3583.2956	4929.699	127142	54583.6602	11066.1169	1619.9522	382.1923	267.7286	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	15	22	1	6	3.017	0	6.69	6.84	Medium	817.376	757.9336	1977.9679	3290.0614	4529.9517	5291.0943	2015.0724	2806.9014	1408.9662	555.965	886.0943	606.9084	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	15	26	2	10	5.2387	0	7.98	8.27	Medium	632.781	2623.9402	4179.7222	10273.1498	19529.2734	33626.7163	40865	40641.7655	34429.238	31517.8367	19224.9762	6581.0515	4672.9581	3337.2927	2005.9923	922.2451	1040.098	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	27	40	2	10	4.8413	0	3.08	3.32	Medium	706.8419	1232.8972	1790.8476	4107.1232	9346.1973	20008.0763	27680	25327.823	18923.0085	11727.9402	5018.1747	1751.9896	927.1015	595.9637	607.79	212.8743	1643.0182	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	41	63	3	15	7.7236	0	3.7	3.99	Medium	839.4332	1087.9202	1962.8612	2363.9958	2461.1316	3256.925	6318.1395	8747.9718	14023.1614	17793.8265	21688.9692	23577	17826.9246	14481.8579	7245.9656	4620.0631	1867.8841	672.0353	678.1513	316.9503	242.1198	133.1119	239.9612	1015.9678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	41	65	3	17	9.4296	0	4.32	4.61	Medium	936.4739	2424.0905	4775.5813	4968.7702	5526.188	3906.8463	4998.3023	10732.4453	16877.5762	35461.8598	55391.0829	67949.5943	80641	71930.2708	54369.7655	40017.1811	24995.2031	13018.7195	5486.8119	3365.4251	1279.7229	444.2115	654.6275	762.9117	1191.1267	1946.6554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	48	58	2	7	0.0434	0	8.26	8.5	Medium	634.3413	30303	15662.2143	4875.9462	1840.7911	524.8173	184.9577	198.8295	502.16	467.9429	339.8597	327.8374	109.125	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	66	72	1	5	3.601	0	6.78	6.89	Medium	840.6029	201.886	200.5401	682.3747	1161.5175	2169.6017	1733.5279	1006.7383	267.8354	122.4775	64.6035	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	68	74	1	5	3.5943	0	6.22	6.39	Medium	828.5665	193.0114	472.0073	857.9767	2809.0257	3500	3411.986	1600.0076	450.0038	175.9747	44.007	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	69	78	2	8	4.0861	0	7.08	7.37	Medium	626.3822	9251.9472	16053.8045	13066.1161	16938.9883	29760.2499	44632.2646	50620	35618.9926	15573.3645	4351.7675	1519.3338	488.1642	343.7232	516.7434	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	69	88	3	16	9.2988	0	13.26	13.55	Medium	823.1144	467.0716	584.9732	745.9542	1116.0536	1214.0723	682.992	1301.9753	2829.9867	4599.0336	7727.9602	9818.9691	11430	10895.0826	9836.9334	4319.9767	2808.011	1316.9746	687.0034	565.9625	194.9911	268.9412	256.0348	486.0824	493.9309	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	69	91	3	19	12.0425	0	12.77	13.07	Low	922.5145	254.9938	272.0295	372.0165	627.9734	390.0153	958.9959	664.9945	1914.9819	1014.0158	1328.0025	2937.0039	3758.0286	3157.9865	3727.9904	3945	2935.0174	1854.0025	1790.9764	702.0156	609.0114	516.9705	2228.0055	2149.0272	973.9849	715.9812	416.0204	424.9897	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	73	91	3	15	7.9393	0	12.66	12.96	Medium	776.0759	577.0237	637.0123	419.9904	654.0021	1004.0058	1310.0318	2114.0055	2877.008	3649.0297	3978.9673	4419.0238	4582	2887.9849	2447.0194	1717.0177	531.9972	184.0211	244.0098	217.0219	224.0136	62.9951	360.0018	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	75	88	2	10	4.6358	0	12.89	13.2	Medium	907.4441	17870.7518	22255.7965	17505.7659	15889.3998	29489.8167	57300.6984	68341	61081.9521	45830.7562	22270.3959	9242.4854	4139.9828	1373.3897	616.3047	433.8118	479.6957	615.2619	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	75	91	2	13	6.944	0	11.95	12.25	Medium	1056.5443	567.0338	770.028	581.985	586.0005	801.9808	1891.0241	3103.0088	4153.0082	5468.9675	5599	4354.0373	3009.9698	1668.9779	438.9664	282.9616	793.0101	1213.0099	1262.9895	499.9672	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	78	88	2	7	3.7049	0	13.56	13.86	High	681.8275	20793.9181	40034.381	99197.3236	267760.3668	422256.7425	431380	330464.6604	148828.8975	49203.7156	12506.63	3554.5159	1573.2024	954.4533	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	78	91	2	10	5.6443	0	13.15	13.42	Medium	830.9277	1425.0672	1402.9821	1561.9364	2656.8901	5833.0695	9477.9752	16954.0565	19044	15254.0885	10728.1055	5480.871	1801.0943	886.0175	632.9111	428.0432	1060.9544	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	79	85	1	4	2.6189	0	13.6	13.72	Medium	923.441	423.9832	1279.9954	2364.9846	2663	1880.0085	1304.9858	329.995	213.0075	124.9926	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	79	88	2	6	3.2792	0	13.61	13.91	Medium	617.7982	64383.5847	163572.3451	377315.6623	859091.7811	981479	750632.6232	538671.4988	243621.2542	65986.0605	15545.5131	5077.0028	1527.5938	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	79	91	2	9	5.4809	0	13.15	13.44	Medium	766.8985	2116.8337	3075.1015	4611.071	10014.9004	27570.4938	51033.8242	66934.3235	69087	47926.0425	24732.5873	10356.4612	4052.345	1134.3192	707.3682	599.8398	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	82	88	1	4	2.4767	0	13.64	13.75	Medium	830.4043	3055.383	12407.2427	24261.775	26994.3751	19950.634	7503.5962	3006.7445	884.3366	446.59	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	89	99	2	8	4.3247	0	8.47	8.57	Low	662.369	311.0393	937.0262	1410.9727	2023.0424	4744.9938	5248.967	6247	3998.0419	2725.0017	911.9562	179.97	285.0161	328.9601	91.9868	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	89	102	2	11	7.0723	0	10.21	10.33	Medium	839.5005	1572.3617	2075.7353	2558.8806	3595.1923	5155.8839	12273.1353	28350.7481	50143.6353	50987	50580.8779	36407.0598	16385.7055	6837.1673	2414.1705	610.7392	501.0396	332.211	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
	apo BRD4(1-477) wt	0.000000s	N66428_24_02_17	89	106	3	14	8.1611	0	11.21	11.5	High	708.0587	5592.04	13246.1725	16631.9953	21033.3432	20179.6813	25244.003	28232.9284	45827.2335	91876.1974	127512.703	145311	142435.1571	107164.5066	67374.9912	33634.2803	13802.7157	5255.0098	2261.6498	1017.7424	929.0503	1075.3923	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
